r_err,mag,sus,N,T,h,gamma,n,no_h_err,model
0.319244291,0.024417745,6.86E-05,2500,4.808,0,3.38,50,0.312779708,SF
0.416871152,0.018960291,4.27E-05,2500,4.808,0,4.7,50,0.408523786,SF
1.68528177,0.372915564,0.000362672,2500,1.736,0,3.08,50,1.651675522,SF
0.230354209,0.023678473,0.00010955,2500,2.888,0,4.16,50,0.22563538,SF
2.067490892,0.4931632,0.001224949,2500,0.584,0,4.34,50,2.026166691,SF
0.331222867,0.021166691,5.49E-05,2500,4.616,0,3.44,50,0.324570139,SF
3.238938946,0.403482618,8.21E-05,2500,4.232,0,2.12,50,3.174199499,SF
1.977860231,0.491091564,0.000542542,2500,0.968,0,3.32,50,1.938351828,SF
2.549561691,0.535042109,0.000217378,2500,1.544,0,2.6,50,2.498624437,SF
0.117396766,0.107805455,0.002714894,2500,1.256,0,4.82,50,0.114863028,SF
3.105070913,0.442793891,0.000103578,2500,3.272,0,2.18,50,3.043015058,SF
2.513433469,0.443946618,0.000161271,2500,2.408,0,2.48,50,2.463226246,SF
0.180100192,0.031654764,0.000241637,2500,2.312,0,4.1,50,0.176408811,SF
2.006160758,0.498050109,0.000232649,2500,1.64,0,2.78,50,1.966112241,SF
2.346971264,0.688639636,0.000121341,2500,1.448,0,2.12,50,2.300040647,SF
0.284009846,0.027256509,8.51E-05,2500,4.904,0,2.9,50,0.278265007,SF
1.130796232,0.403341745,0.000549803,2500,1.256,0,3.44,50,1.108298922,SF
0.244451659,0.022834109,9.95E-05,2500,2.984,0,4.52,50,0.239485767,SF
3.273192639,0.405133964,8.14E-05,2500,4.136,0,2.18,50,3.207774288,SF
0.325276159,0.0204848,5.08E-05,2500,4.616,0,3.86,50,0.318727671,SF
0.34863354,0.019578255,5.17E-05,2500,4.328,0,4.52,50,0.341574883,SF
0.280390501,0.030329455,9.96E-05,2500,4.904,0,3.02,50,0.274729676,SF
2.051271632,0.525439055,0.000321664,2500,1.256,0,2.9,50,2.010308739,SF
3.171880036,0.437505236,6.92E-05,2500,4.424,0,2,50,3.108482731,SF
0.220085532,0.027624582,0.000160805,2500,2.6,0,4.16,50,0.21558924,SF
0.137422712,0.182679418,0.001411829,2500,1.64,0,3.98,50,0.134575526,SF
2.78323523,0.708932727,0.00023787,2500,0.776,0,2.66,50,2.727583577,SF
1.039446958,0.152098545,0.000168144,2500,4.232,0,2.72,50,1.019172661,SF
2.351520017,0.447299927,0.000216368,2500,1.928,0,2.66,50,2.304560579,SF
0.812463908,0.180561018,0.000320615,2500,2.888,0,2.9,50,0.796628359,SF
0.356641645,0.019235273,5.12E-05,2500,4.136,0,4.76,50,0.349459401,SF
1.226596472,0.377770473,0.000393146,2500,1.64,0,3.26,50,1.202202179,SF
2.568599248,0.621691855,0.000229553,2500,1.16,0,2.72,50,2.517259861,SF
0.828380574,0.395789673,0.001825669,2500,0.776,0,4.58,50,0.811901257,SF
0.835103052,0.0744968,0.000213022,2500,3.656,0,3.56,50,0.819031323,SF
0.21230797,0.043159055,0.000269706,2500,3.08,0,3.38,50,0.207995188,SF
0.229116044,0.031361673,0.000171811,2500,2.984,0,3.5,50,0.224445924,SF
0.17101756,0.038055782,0.000364787,2500,2.12,0,4.34,50,0.167468038,SF
0.831067977,0.214186982,0.000475913,2500,2.12,0,3.2,50,0.814726038,SF
0.631392889,0.291780145,0.000777007,2500,1.448,0,3.74,50,0.619003447,SF
0.193692628,0.026969164,0.000185331,2500,2.216,0,4.46,50,0.189716254,SF
2.32297244,0.293781818,0.042176684,2500,0.296,0,4.76,50,2.276534069,SF
0.160302339,0.029413164,0.000267709,2500,1.832,0,4.76,50,0.156975045,SF
2.698437776,0.705451418,0.000239318,2500,0.68,0,2.72,50,2.644481076,SF
0.115569482,0.074164509,0.001997742,2500,1.256,0,4.7,50,0.113054033,SF
2.223091046,0.528912945,0.000516394,2500,0.872,0,3.44,50,2.178662651,SF
0.252985613,0.066194473,0.000287033,2500,4.232,0,2.78,50,0.247816486,SF
0.115148581,0.126625164,0.003396931,2500,1.16,0,4.52,50,0.112651531,SF
2.682001384,0.516354327,0.0001667,2500,2.024,0,2.42,50,2.628418116,SF
1.509755192,0.719094473,0.002816883,2500,0.2,0,2.72,50,1.480148978,SF
2.026565722,0.334277164,0.012025866,2500,0.2,0,4.1,50,1.986088654,SF
2.135693233,0.730508291,0.000130331,2500,1.16,0,2.18,50,2.092987931,SF
0.132663208,0.053752218,0.001008544,2500,1.448,0,4.7,50,0.129813751,SF
1.669109669,0.735186691,0.044854224,2500,0.2,0,2.66,50,1.63997903,SF
0.196814672,0.052676436,0.000452127,2500,2.504,0,3.74,50,0.192794941,SF
0.313255796,0.022110545,5.92E-05,2500,4.808,0,3.44,50,0.306961463,SF
2.80982843,0.539055418,9.21E-05,2500,2.888,0,2.06,50,2.753660454,SF
0.274514383,0.021514691,7.61E-05,2500,3.464,0,3.92,50,0.268962752,SF
2.529442257,0.326681745,0.000143591,2500,3.368,0,2.42,50,2.478942234,SF
0.19975847,0.030344218,0.000214189,2500,2.312,0,4.28,50,0.195635298,SF
