r_err	mag	sus	N	T	h	gamma	n	filetered error
47535.24783	0.656936364	0.568434614	100	2.36	0	2.01	100	0
19347.91112	0.686954545	0.528093452	100	0.968	0	2.365	100	0
18800.58504	0.694654545	0.517455062	100	2.456	0	2.025	100	0
10003.86873	0.585074545	0.657687776	100	2.168	0	2.225	100	0
7468.498274	0.530167273	0.718922663	100	3.368	0	2.225	100	0
7224.286829	0.755830909	0.428719637	100	0.776	0	2.215	100	0
6943.19651	0.619287273	0.616483274	100	1.448	0	2.465	100	0
6147.252896	0.784498182	0.384562603	100	0.872	0	2.345	100	0
5820.649571	0.041025455	0.998316912	100	3.128	0	2.36	100	0
4714.436182	0.263781818	0.930419152	100	4.136	0	2.24	100	0
4648.787572	0.65874	0.566061612	100	1.544	0	2.24	100	0
4552.858622	0.615690909	0.620924704	100	1.592	0	2.34	100	0
4273.523587	0.093770909	0.991207017	100	2.744	0	2.19	100	0
4062.878774	0.775343636	0.398842246	100	1.112	0	2	100	0
3911.701989	0.001350909	0.999998175	100	3.08	0	2.195	100	0
3909.372711	0.617410909	0.618803769	100	1.256	0	2.33	100	0
3859.474854	0.595365455	0.645539976	100	1.88	0	2.405	100	0
3820.879319	0.107676364	0.988405801	100	2.936	0	2.36	100	0
3665.212325	0.523132727	0.72633215	100	1.976	0	2.455	100	0
3659.321476	0.12538	0.984279856	100	2.648	0	2.145	100	0
3550.875006	0.851905455	0.274257097	100	0.824	0	2.195	100	0
3176.365842	0.165876364	0.972485032	100	3.08	0	2.215	100	0
3155.59032	0.051281818	0.997370175	100	3.752	0	2.105	100	0
3032.276405	0.475683636	0.773725078	100	2.6	0	2.275	100	0
3016.36948	0.573243636	0.671391733	100	1.592	0	2.445	100	0
2986.035913	0.782547273	0.387619766	100	0.968	0	2.1	100	0
2974.437374	0.684805455	0.531041489	100	1.832	0	2.015	100	0
2932.659575	0.476930909	0.772536908	100	3.464	0	2.065	100	0
2931.674798	0.7059	0.50170519	100	1.64	0	2.285	100	0
2871.528289	0.694752727	0.517318648	100	1.256	0	2.295	100	0
2739.405831	0.636072727	0.595411486	100	1.448	0	2.1	100	0
2574.341197	0.080603636	0.993503054	100	3.56	0	2.28	100	0
2372.329196	0.624458182	0.610051979	100	1.496	0	2.36	100	0
2097.720943	0.661452727	0.56248029	100	1.736	0	2.21	100	0
1998.227315	0.687270909	0.527658698	100	0.776	0	2.405	100	0
1925.118319	0.595821818	0.644996361	100	2.648	0	2.02	100	0
1793.771815	0.577103636	0.666951393	100	3.08	0	2.09	100	0
1725.20773	0.592112727	0.649402518	100	1.736	0	2.345	100	0
1664.600919	0.641463636	0.588524403	100	1.976	0	2.14	100	0
1646.477978	0.487450909	0.762391611	100	2.408	0	2.24	100	0
1645.564766	0.724321818	0.475357904	100	0.632	0	2.48	100	0
1529.301445	0.618334545	0.61766239	100	2.408	0	2.035	100	0
1509.209254	0.642667273	0.586978777	100	1.784	0	2.11	100	0
1487.384105	0.032434545	0.998948	100	4.712	0	2.13	100	0
1466.464249	0.825718182	0.318189484	100	0.776	0	2.13	100	0
1456.379564	0.781705455	0.388936582	100	0.776	0	2.445	100	0
1447.736631	0.81404	0.337338878	100	1.016	0	2.31	100	0
1391.321775	0.654067273	0.572196003	100	0.872	0	2.44	100	0
1366.453685	0.540330909	0.708042509	100	3.176	0	2.025	100	0
1344.815743	0.803065455	0.355085876	100	0.728	0	2.16	100	0
1312.730052	0.700389091	0.509455121	100	1.352	0	2.16	100	0
1291.439591	0.709725455	0.496289779	100	1.832	0	2.075	100	0
1284.658482	0.013930909	0.99980593	100	2.888	0	2.215	100	0
1254.702564	0.051450909	0.997352804	100	3.032	0	2.495	100	0
1253.657863	0.631196364	0.601591151	100	2.024	0	2.235	100	0
1238.848045	0.125305455	0.984298543	100	2.312	0	2.475	100	0
1235.842815	0.013127273	0.999827675	100	4.616	0	2.11	100	0
1223.590602	0.549814545	0.697703966	100	2.984	0	2.02	100	0
1162.282573	0.746581818	0.442615589	100	0.68	0	2.21	100	0
1156.791744	0.007098182	0.999949616	100	3.224	0	2.28	100	0
1152.743159	0.004294545	0.999981557	100	1.304	0	2.47	100	0
1136.814827	0.598518182	0.641775986	100	2.936	0	2.05	100	0
1119.827703	0.006141818	0.999962278	100	4.088	0	2.345	100	0
1118.411864	0.155109091	0.97594117	100	3.752	0	2.295	100	0
1096.36006	0.787825455	0.379331053	100	0.92	0	2.485	100	0
1086.776455	0.561965455	0.684194828	100	1.64	0	2.45	100	0
1074.773231	0.66118	0.562841008	100	1.4	0	2.15	100	0
1062.188325	0.857978182	0.26387344	100	0.92	0	2.185	100	0
1053.021095	0.745527273	0.444189086	100	1.208	0	2.025	100	0
1030.471675	0.603669091	0.635583629	100	1.88	0	2.02	100	0
1023.554679	0.56206	0.684088556	100	1.592	0	2.385	100	0
1018.159468	0.002989091	0.999991065	100	3.944	0	2.415	100	0
989.7586552	0.749785455	0.437821772	100	1.16	0	2.19	100	0
952.8943271	0.623414545	0.611354305	100	1.496	0	2.5	100	0
944.8091542	0.590561818	0.651236739	100	1.736	0	2.33	100	0
940.9662944	0.441816364	0.804798301	100	2.552	0	2.27	100	0
891.5098116	0.017327273	0.999699766	100	3.56	0	2.4	100	0
875.3505778	0.73418	0.460979728	100	0.92	0	2.395	100	0
863.7383354	0.736854545	0.457045379	100	1.4	0	2.1	100	0
826.2307698	0.555587273	0.691322782	100	1.688	0	2.345	100	0
817.6459895	0.682634545	0.534010077	100	1.304	0	2.395	100	0
809.4884208	0.450723636	0.796848204	100	3.08	0	2.28	100	0
791.8316481	0.801161818	0.358139741	100	0.872	0	2.265	100	0
764.7911904	0.79664	0.36536471	100	1.16	0	2.01	100	0
753.6279494	0.023414545	0.999451759	100	3.176	0	2.08	100	0
743.8382103	0.673487273	0.546414893	100	1.448	0	2.205	100	0
742.034031	0.688634545	0.525782463	100	1.4	0	2.425	100	0
739.156668	0.033756364	0.998860508	100	3.56	0	2.325	100	0
728.3030337	0.706363636	0.501050413	100	0.872	0	2.425	100	0
717.8793861	0.004074545	0.999983398	100	1.448	0	2.31	100	0
710.8469293	0.623418182	0.611349771	100	1.544	0	2.4	100	0
707.8601796	0.509689091	0.740217031	100	2.36	0	2.305	100	0
693.8196227	0.553525455	0.693609571	100	1.4	0	2.395	100	0
692.1775968	0.655385455	0.570469906	100	1.688	0	2.225	100	0
680.5078819	0.626229091	0.607837126	100	1.448	0	2.4	100	0
671.0072598	0.755774545	0.428804836	100	1.016	0	2.09	100	0
663.2827622	0.538656364	0.709849322	100	2.552	0	2.23	100	0
661.3323697	0.739952727	0.452469961	100	0.92	0	2.32	100	0
657.7103246	0.684416364	0.531574241	100	0.728	0	2.14	100	0
652.239563	0.857754545	0.26425714	100	0.872	0	2.335	100	0
629.6270303	4.00E-05	0.999999998	100	3.224	0	2.355	100	0
625.5938659	0.059878182	0.996414603	100	3.944	0	2.04	100	0
625.2729821	0.882163636	0.221787319	100	0.872	0	2.01	100	0
612.280396	0.269676364	0.927274659	100	2.792	0	2.46	100	0
605.9914115	0.011496364	0.999867834	100	4.232	0	2.235	100	0
597.625157	0.533278182	0.715614381	100	1.736	0	2.49	100	0
560.4104871	0.005150909	0.999973468	100	3.224	0	2.41	100	0
556.3114264	0.000830909	0.99999931	100	3.944	0	2.015	100	0
553.570627	0.776245455	0.397442994	100	1.112	0	2.395	100	0
548.7271772	0.495483636	0.754495966	100	3.032	0	2	100	0
537.2470086	0.823825455	0.32131162	100	0.92	0	2.255	100	0
531.6471817	0.630545455	0.60241243	100	1.4	0	2.17	100	0
530.0145379	0.771556364	0.404700778	100	1.448	0	2	100	0
529.1746205	0.524681818	0.72470899	100	3.08	0	2.01	100	0
527.6848293	0.586147273	0.656431375	100	2.12	0	2.15	100	0
518.9827561	0.470125455	0.778982057	100	3.368	0	2.135	100	0
517.3205447	0.160454545	0.974254339	100	3.32	0	2.45	100	0
510.1407268	0.512870909	0.736963431	100	2.6	0	2.12	100	0
503.6228803	0.533723636	0.71513908	100	2.456	0	2.13	100	0
502.5679527	0.683767273	0.532462317	100	1.208	0	2.295	100	0
502.4370111	0.569401818	0.675781569	100	1.736	0	2.1	100	0
